role,country,n,experience_level,median_salary,salary_low,salary_high
Backend,Poland,,TWO_FIVE,,65,98
AI/ML,Canada,,TWO_FIVE,,83,99
Backend,Romania,,TWO_FIVE,,34,51
AI/ML,Spain,,TWO_FIVE,,44,66
Automation QA,Spain,,TWO_FIVE,,40,60
Automation QA,Canada,,TWO_FIVE,,75,90
Backend,Mexico,,TWO_FIVE,,48,78
Automation QA,Chile,,TWO_FIVE,,48,78
Automation QA,Costa Rica,,TWO_FIVE,,48,78
Automation QA,Colombia,,TWO_FIVE,,48,78
Mobile,Poland,,TWO_FIVE,,65,98
Automation QA,Poland,,TWO_FIVE,,65,98
Full Stack,Poland,,TWO_FIVE,,65,98
Frontend,Romania,,TWO_FIVE,,34,51
Frontend,Poland,,TWO_FIVE,,65,98
Backend,Canada,,TWO_FIVE,,75,90
Full Stack,Romania,,TWO_FIVE,,34,51
Full Stack,Mexico,,TWO_FIVE,,48,78
Backend,Colombia,,TWO_FIVE,,48,78
Backend,Chile,,TWO_FIVE,,48,78
Backend,Spain,,TWO_FIVE,,40,60
Backend,Costa Rica,,TWO_FIVE,,48,78
Frontend,Mexico,,TWO_FIVE,,48,78
Full Stack,Colombia,,TWO_FIVE,,48,78
Mobile,Mexico,,TWO_FIVE,,48,78
Mobile,Romania,,TWO_FIVE,,34,51
Frontend,Colombia,,TWO_FIVE,,48,78
Full Stack,Chile,,TWO_FIVE,,48,78
AI/ML,Costa Rica,,TWO_FIVE,,59,89
Data Analyst,Canada,,TWO_FIVE,,64,77
Automation QA,Romania,,TWO_FIVE,,34,51
DevOps,Poland,,TWO_FIVE,,72,108
Data Engineer,Chile,,TWO_FIVE,,59,89
Mobile,Colombia,,TWO_FIVE,,48,78
Mobile,Chile,,TWO_FIVE,,48,78
Frontend,Chile,,TWO_FIVE,,48,78
Designer,Poland,,TWO_FIVE,,55,83
Data Analyst,Chile,,TWO_FIVE,,46,69
Designer,Mexico,,TWO_FIVE,,46,69
Data Engineer,Colombia,,TWO_FIVE,,59,89
DevOps,Romania,,TWO_FIVE,,34,56
Automation QA,Mexico,,TWO_FIVE,,84,125
Designer,Colombia,,TWO_FIVE,,46,69
DevOps,Mexico,,TWO_FIVE,,59,89
Designer,Chile,,TWO_FIVE,,46,69
Data Analyst,Colombia,,TWO_FIVE,,46,69
Data Analyst,Costa Rica,,TWO_FIVE,,46,69
Data Engineer,Spain,,TWO_FIVE,,44,66
AI/ML,Chile,,TWO_FIVE,,59,89
DevOps,Colombia,,TWO_FIVE,,59,89
Designer,Romania,,TWO_FIVE,,29,43
DevOps,Chile,,TWO_FIVE,,59,89
AI/ML,Colombia,,TWO_FIVE,,59,89
Data Engineer,Canada,,TWO_FIVE,,83,99
Designer,Spain,,TWO_FIVE,,34,51
Designer,Canada,,TWO_FIVE,,64,77
Data Analyst,Mexico,,TWO_FIVE,,46,69
Data Engineer,Costa Rica,,TWO_FIVE,,59,89
Data Engineer,Mexico,,TWO_FIVE,,59,89
DevOps,Canada,,TWO_FIVE,,83,99
Designer,Costa Rica,,TWO_FIVE,,46,69
Data Analyst,Poland,,TWO_FIVE,,55,83
DevOps,Costa Rica,,TWO_FIVE,,59,89
AI/ML,Mexico,,TWO_FIVE,,59,89
Frontend,Costa Rica,,TWO_FIVE,,48,78
Data Analyst,Romania,,TWO_FIVE,,29,43
DevOps,Spain,,TWO_FIVE,,44,66
Frontend,Canada,,TWO_FIVE,,75,90
Frontend,Spain,,TWO_FIVE,,40,60
Data Engineer,Poland,,TWO_FIVE,,72,108
AI/ML,Poland,,TWO_FIVE,,72,108
Full Stack,Costa Rica,,TWO_FIVE,,48,78
Data Engineer,Romania,,TWO_FIVE,,34,56
Full Stack,Canada,,TWO_FIVE,,75,90
Full Stack,Spain,,TWO_FIVE,,40,60
Data Analyst,Spain,,TWO_FIVE,,34,51
Mobile,Canada,,TWO_FIVE,,75,90
AI/ML,Romania,,TWO_FIVE,,34,56
Mobile,Spain,,TWO_FIVE,,40,60
Mobile,Costa Rica,,TWO_FIVE,,48,78
