currency,date,rate
CAD,2020-01-01,0.770683
CAD,2020-01-02,0.77009
CAD,2020-01-03,0.769808
CAD,2020-01-04,0.769808
CAD,2020-01-05,0.769906
CAD,2020-01-06,0.771346
CAD,2020-01-07,0.769015
CAD,2020-01-08,0.767051
CAD,2020-01-09,0.765518
CAD,2020-01-10,0.766178
CAD,2020-01-11,0.766046
CAD,2020-01-12,0.765328
CAD,2020-01-13,0.765902
CAD,2020-01-14,0.765336
CAD,2020-01-15,0.766842
CAD,2020-01-16,0.766783
CAD,2020-01-17,0.765284
CAD,2020-01-18,0.765284
CAD,2020-01-19,0.765436
CAD,2020-01-20,0.766521
CAD,2020-01-21,0.764856
CAD,2020-01-22,0.760948
CAD,2020-01-23,0.761644
CAD,2020-01-24,0.760601
CAD,2020-01-25,0.760601
CAD,2020-01-26,0.75982
CAD,2020-01-27,0.758251
CAD,2020-01-28,0.759622
CAD,2020-01-29,0.757604
CAD,2020-01-30,0.756896
CAD,2020-01-31,0.755581
CAD,2020-02-01,0.755581
CAD,2020-02-02,0.755216
CAD,2020-02-03,0.752077
CAD,2020-02-04,0.752816
CAD,2020-02-05,0.752737
CAD,2020-02-06,0.752644
CAD,2020-02-07,0.75149
CAD,2020-02-08,0.75149
CAD,2020-02-09,0.751287
CAD,2020-02-10,0.750779
CAD,2020-02-11,0.752397
CAD,2020-02-12,0.754336
CAD,2020-02-13,0.753812
CAD,2020-02-14,0.754711
CAD,2020-02-15,0.754711
CAD,2020-02-16,0.754936
CAD,2020-02-17,0.75543
CAD,2020-02-18,0.754452
CAD,2020-02-19,0.756358
CAD,2020-02-20,0.754128
CAD,2020-02-21,0.756249
CAD,2020-02-22,0.756249
CAD,2020-02-23,0.754481
CAD,2020-02-24,0.752545
CAD,2020-02-25,0.753001
CAD,2020-02-26,0.749297
CAD,2020-02-27,0.746991
CAD,2020-02-28,0.745384
CAD,2020-02-29,0.745384
CAD,2020-03-01,0.745818
CAD,2020-03-02,0.750396
CAD,2020-03-03,0.747451
CAD,2020-03-04,0.747097
CAD,2020-03-05,0.746583
CAD,2020-03-06,0.744762
CAD,2020-03-07,0.744762
CAD,2020-03-08,0.734036
CAD,2020-03-09,0.732099
CAD,2020-03-10,0.728202
CAD,2020-03-11,0.725926
CAD,2020-03-12,0.717105
CAD,2020-03-13,0.722465
CAD,2020-03-14,0.722465
CAD,2020-03-15,0.724672
CAD,2020-03-16,0.71371
CAD,2020-03-17,0.702181
CAD,2020-03-18,0.692195
CAD,2020-03-19,0.689646
CAD,2020-03-20,0.696064
CAD,2020-03-21,0.696064
CAD,2020-03-22,0.691438
CAD,2020-03-23,0.690617
CAD,2020-03-24,0.692485
CAD,2020-03-25,0.703324
CAD,2020-03-26,0.712327
CAD,2020-03-27,0.713139
CAD,2020-03-28,0.713139
CAD,2020-03-29,0.711893
CAD,2020-03-30,0.705201
CAD,2020-03-31,0.710202
CAD,2020-04-01,0.706551
CAD,2020-04-02,0.707677
CAD,2020-04-03,0.704052
CAD,2020-04-04,0.704052
CAD,2020-04-05,0.701582
CAD,2020-04-06,0.708568
CAD,2020-04-07,0.713445
CAD,2020-04-08,0.714059
CAD,2020-04-09,0.714921
CAD,2020-04-10,0.716666
CAD,2020-04-11,0.716666
CAD,2020-04-12,0.715827
CAD,2020-04-13,0.720783
CAD,2020-04-14,0.720381
CAD,2020-04-15,0.708228
CAD,2020-04-16,0.712243
CAD,2020-04-17,0.714094
CAD,2020-04-18,0.714107
CAD,2020-04-19,0.711718
CAD,2020-04-20,0.707942
CAD,2020-04-21,0.704647
CAD,2020-04-22,0.704885
CAD,2020-04-23,0.710858
CAD,2020-04-24,0.709303
CAD,2020-04-25,0.708951
CAD,2020-04-26,0.708692
CAD,2020-04-27,0.712385
CAD,2020-04-28,0.715141
CAD,2020-04-29,0.720703
CAD,2020-04-30,0.716661
CAD,2020-05-01,0.701139
CAD,2020-05-02,0.70109
CAD,2020-05-03,0.707404
CAD,2020-05-04,0.70999
CAD,2020-05-05,0.712126
CAD,2020-05-06,0.70597
CAD,2020-05-07,0.715794
CAD,2020-05-08,0.713445
CAD,2020-05-09,0.713394
CAD,2020-05-10,0.718122
CAD,2020-05-11,0.713241
CAD,2020-05-12,0.710147
CAD,2020-05-13,0.709648
CAD,2020-05-14,0.712479
CAD,2020-05-15,0.708715
CAD,2020-05-16,0.708715
CAD,2020-05-17,0.709547
CAD,2020-05-18,0.717283
CAD,2020-05-19,0.717432
CAD,2020-05-20,0.719168
CAD,2020-05-21,0.716982
CAD,2020-05-22,0.714566
CAD,2020-05-23,0.714566
CAD,2020-05-24,0.714996
CAD,2020-05-25,0.715704
CAD,2020-05-26,0.725497
CAD,2020-05-27,0.726974
CAD,2020-05-28,0.725874
CAD,2020-05-29,0.726135
CAD,2020-05-30,0.726135
CAD,2020-05-31,0.725747
CAD,2020-06-01,0.736217
CAD,2020-06-02,0.740146
CAD,2020-06-03,0.741043
CAD,2020-06-04,0.740628
CAD,2020-06-05,0.744407
CAD,2020-06-06,0.744407
CAD,2020-06-07,0.746622
CAD,2020-06-08,0.747915
CAD,2020-06-09,0.744907
CAD,2020-06-10,0.744671
CAD,2020-06-11,0.733229
CAD,2020-06-12,0.735916
CAD,2020-06-13,0.735916
CAD,2020-06-14,0.733237
CAD,2020-06-15,0.738861
CAD,2020-06-16,0.738883
CAD,2020-06-17,0.736559
CAD,2020-06-18,0.735659
CAD,2020-06-19,0.734914
CAD,2020-06-20,0.734914
CAD,2020-06-21,0.734241
CAD,2020-06-22,0.740595
CAD,2020-06-23,0.738408
CAD,2020-06-24,0.732909
CAD,2020-06-25,0.733272
CAD,2020-06-26,0.730015
CAD,2020-06-27,0.730015
CAD,2020-06-28,0.731026
CAD,2020-06-29,0.732223
CAD,2020-06-30,0.736654
CAD,2020-07-01,0.735646
CAD,2020-07-02,0.73689
CAD,2020-07-03,0.736515
CAD,2020-07-04,0.736515
CAD,2020-07-05,0.737999
CAD,2020-07-06,0.738593
CAD,2020-07-07,0.734943
CAD,2020-07-08,0.739776
CAD,2020-07-09,0.736241
CAD,2020-07-10,0.735681
CAD,2020-07-11,0.735916
CAD,2020-07-12,0.735349
CAD,2020-07-13,0.734686
CAD,2020-07-14,0.735308
CAD,2020-07-15,0.740316
CAD,2020-07-16,0.736822
CAD,2020-07-17,0.736317
CAD,2020-07-18,0.736317
CAD,2020-07-19,0.736643
CAD,2020-07-20,0.739352
CAD,2020-07-21,0.743597
CAD,2020-07-22,0.745293
CAD,2020-07-23,0.746035
CAD,2020-07-24,0.745295
CAD,2020-07-25,0.745295
CAD,2020-07-26,0.745279
CAD,2020-07-27,0.749664
CAD,2020-07-28,0.747387
CAD,2020-07-29,0.749493
CAD,2020-07-30,0.745526
CAD,2020-07-31,0.745629
CAD,2020-08-01,0.745629
CAD,2020-08-02,0.746366
CAD,2020-08-03,0.746464
CAD,2020-08-04,0.752069
CAD,2020-08-05,0.753855
CAD,2020-08-06,0.750816
CAD,2020-08-07,0.747242
CAD,2020-08-08,0.747186
CAD,2020-08-09,0.746946
CAD,2020-08-10,0.74882
CAD,2020-08-11,0.751261
CAD,2020-08-12,0.755062
CAD,2020-08-13,0.756403
CAD,2020-08-14,0.754236
CAD,2020-08-15,0.754236
CAD,2020-08-16,0.754512
CAD,2020-08-17,0.756287
CAD,2020-08-18,0.760187
CAD,2020-08-19,0.756845
CAD,2020-08-20,0.759143
CAD,2020-08-21,0.758863
CAD,2020-08-22,0.758863
CAD,2020-08-23,0.758674
CAD,2020-08-24,0.756541
CAD,2020-08-25,0.759561
CAD,2020-08-26,0.761006
CAD,2020-08-27,0.762053
CAD,2020-08-28,0.763455
CAD,2020-08-29,0.763455
CAD,2020-08-30,0.76445
CAD,2020-08-31,0.767018
CAD,2020-09-01,0.765961
CAD,2020-09-02,0.766483
CAD,2020-09-03,0.761012
CAD,2020-09-04,0.765433
CAD,2020-09-05,0.765433
CAD,2020-09-06,0.764722
CAD,2020-09-07,0.763583
CAD,2020-09-08,0.755313
CAD,2020-09-09,0.760291
CAD,2020-09-10,0.758159
CAD,2020-09-11,0.758811
CAD,2020-09-12,0.758811
CAD,2020-09-13,0.758607
CAD,2020-09-14,0.758895
CAD,2020-09-15,0.757963
CAD,2020-09-16,0.75859
CAD,2020-09-17,0.760396
CAD,2020-09-18,0.757369
CAD,2020-09-19,0.757369
CAD,2020-09-20,0.757662
CAD,2020-09-21,0.751738
CAD,2020-09-22,0.751908
CAD,2020-09-23,0.747027
CAD,2020-09-24,0.748965
CAD,2020-09-25,0.746957
CAD,2020-09-26,0.746957
CAD,2020-09-27,0.747339
CAD,2020-09-28,0.748657
CAD,2020-09-29,0.747125
CAD,2020-09-30,0.751417
CAD,2020-10-01,0.752644
CAD,2020-10-02,0.751171
CAD,2020-10-03,0.751171
CAD,2020-10-04,0.752247
CAD,2020-10-05,0.754176
CAD,2020-10-06,0.750627
CAD,2020-10-07,0.754159
CAD,2020-10-08,0.758009
CAD,2020-10-09,0.762236
CAD,2020-10-10,0.762236
CAD,2020-10-11,0.76147
CAD,2020-10-12,0.762611
CAD,2020-10-13,0.760922
CAD,2020-10-14,0.760369
CAD,2020-10-15,0.755971
CAD,2020-10-16,0.758216
CAD,2020-10-17,0.758216
CAD,2020-10-18,0.758711
CAD,2020-10-19,0.758119
CAD,2020-10-20,0.762146
CAD,2020-10-21,0.760222
CAD,2020-10-22,0.761177
CAD,2020-10-23,0.761786
CAD,2020-10-24,0.761786
CAD,2020-10-25,0.760566
CAD,2020-10-26,0.75716
CAD,2020-10-27,0.758187
CAD,2020-10-28,0.751253
CAD,2020-10-29,0.750957
CAD,2020-10-30,0.750354
CAD,2020-10-31,0.750354
CAD,2020-11-01,0.748122
CAD,2020-11-02,0.756381
CAD,2020-11-03,0.762945
CAD,2020-11-04,0.761702
CAD,2020-11-05,0.764278
CAD,2020-11-06,0.767722
CAD,2020-11-07,0.767722
CAD,2020-11-08,0.767896
CAD,2020-11-09,0.768743
CAD,2020-11-10,0.767321
CAD,2020-11-11,0.765808
CAD,2020-11-12,0.761113
CAD,2020-11-13,0.761011
CAD,2020-11-14,0.761011
CAD,2020-11-15,0.762041
CAD,2020-11-16,0.76478
CAD,2020-11-17,0.763018
CAD,2020-11-18,0.764231
CAD,2020-11-19,0.764173
CAD,2020-11-20,0.763667
CAD,2020-11-21,0.763667
CAD,2020-11-22,0.764339
CAD,2020-11-23,0.764827
